  Frame         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      516        0.313        3.269            0      228.264        0.385      117.267
      517        0.205        3.461            0      235.229        1.482      115.000
      518        0.148        3.449            0      234.915        2.354      115.412
      519        0.127        3.401            0      231.864        1.619      112.982
      520        0.139        3.400            0      232.610        1.824      115.799
      521        0.114        3.416            0      233.067        2.332      115.588
      522        0.126        3.381            0      233.340        3.226      111.455
      523        0.340        3.295            0      229.120        0.347      116.564
      524        0.329        3.329            0      232.435        0.029      113.910
      525        0.153        3.352            0      232.747        0.971      112.699
      526        0.177        3.353            0      231.260        0.517      113.902
      527        0.424        3.469            0      233.906        0.151      111.897
      528        0.102        3.392            0      231.062        4.885      112.071
      529        0.141        3.420            0      231.921        0.963      114.983
      530        0.157        3.370            0      232.344        0.879      117.296
      531        0.187        3.331            0      232.019        0.000      116.403
      532        0.180        3.403            0      233.345        2.261      115.744
      533        0.222        3.376            0      232.780        2.202      114.951
      534        0.162        3.425            0      234.036        0.918      112.377
      535        0.299        3.276            0      229.166        2.091      114.622
      536        0.125        3.392            0      232.941        2.030      113.585
      537        0.175        3.397            0      233.417        5.412      113.759
      538        0.117        3.419            0      232.407        1.443      115.553
      539        0.299        3.347            0      233.949        0.000      114.249
      540        0.183        3.361            0      231.437        0.505      110.973
      541        0.187        3.439            0      234.574        1.206      115.087
      542        0.211        3.403            0      232.874        2.104      117.334
      543        0.155        3.353            0      231.032        0.691      114.908
      544        0.198        3.401            0      233.901        1.774      117.343
      545        0.234        3.382            0      233.757        0.000      115.415
      546        0.205        3.382            0      232.799        1.475      116.218
      547        0.201        3.346            0      230.713        1.332      114.593
      548        0.250        3.288            0      230.258        0.599      114.924
      549        0.116        3.390            0      234.048        1.920      111.707
      550        0.139        3.412            0      233.253        0.984      113.712
      551        0.207        3.365            0      233.421        1.289      109.428
      552        0.171        3.376            0      233.310        1.833      118.634
